FIPS,state,state_fips,county,tract,geoid,area_name,area_land,total_pop,housing_units,owner_occupied_housing_units,persons_no_health_insurance,families,families_income_below_poverty_level,median_household_income,nh_white_alone,nh_black_or_african_american_alone,nh_american_indian_and_alaska_native_alone,nh_asian_alone,nh_native_hawaiian_and_other_pacific_islander_alone,nh_other,nh_two_or_more,hispanic_or_latino,households_receiving_assistance,households,pct_owner_occupied,pct_no_health_insurance,pct_families_income_below_poverty_level,pct_households_receiving_assistance,pct_nh_white_alone,pct_nh_black_or_african_american_alone,pct_nh_american_indian_and_alaska_native_alone,pct_nh_asian_alone,pct_nh_native_hawaiian_and_other_pacific_islander_alone,pct_nh_other,pct_nh_two_or_more,pct_hispanic_or_latino
06001404300,ca,06,001,404300,14000US06001404300,Census Tract 4043,0.701558076716958,3562,1533,1302,28,992,69,204118,2546,41,26,519,0,32,149,249,733,1408,0.8493150684931506,0.007860752386299831,0.06955645161290322,0.5205965909090909,0.7147669848399776,0.011510387422796182,0.0072992700729927005,0.14570466030320045,0.0,0.008983717012914094,0.04183043234138124,0.06990454800673779
06001404400,ca,06,001,404400,14000US06001404400,Census Tract 4044,1.6033599383472,5916,2420,2105,46,1515,0,167765,3476,172,23,947,0,55,1040,203,1219,2420,0.8698347107438017,0.00777552400270453,0.0,0.5037190082644628,0.5875591615956728,0.0290736984448952,0.003887762001352265,0.16007437457741716,0.0,0.00929682217714672,0.1757944557133198,0.03431372549019608
06001404501,ca,06,001,404501,14000US06001404501,Census Tract 4045.01,0.416659459426067,1843,715,585,0,542,3,211500,1188,91,0,192,29,13,236,94,475,678,0.8181818181818182,0.0,0.005535055350553505,0.700589970501475,0.6446011937059143,0.049376017362995114,0.0,0.10417797069994574,0.015735214324470972,0.00705371676614216,0.12805208898534998,0.051003798155181766
06001404502,ca,06,001,404502,14000US06001404502,Census Tract 4045.02,1.1891433473823,6292,2554,2212,59,1826,0,217250,4509,236,10,861,0,7,403,266,1396,2537,0.8660924040720438,0.009376986649713922,0.0,0.5502562081198266,0.716624284806103,0.03750794659885569,0.001589319771137953,0.13684043229497775,0.0,0.0011125238397965672,0.0640495867768595,0.04227590591226955
06001404600,ca,06,001,404600,14000US06001404600,Census Tract 4046,1.88337243261359,5063,1919,1673,196,1343,22,184183,3067,332,0,676,135,21,618,214,1036,1919,0.8718082334549244,0.0387122259529923,0.016381236038719285,0.5398645127670662,0.6057673316215683,0.06557377049180328,0.0,0.1335176772664428,0.02666403318190796,0.004147738494963461,0.12206201856606755,0.042267430377246694
06001404700,ca,06,001,404700,14000US06001404700,Census Tract 4047,0.461665845556041,2153,889,781,45,681,20,215357,1444,110,0,259,7,41,107,185,390,836,0.8785151856017998,0.02090106827682304,0.02936857562408223,0.4665071770334928,0.6706920575940548,0.05109150023223409,0.0,0.12029725963771482,0.003251277287505806,0.019043195541105434,0.04969809568044589,0.08592661402693916
06001404800,ca,06,001,404800,14000US06001404800,Census Tract 4048,0.242628537275076,2722,1232,553,62,592,23,106250,1527,314,25,454,0,0,161,241,487,1139,0.44886363636363635,0.022777369581190303,0.03885135135135135,0.42756804214223004,0.5609845701689934,0.115356355620867,0.009184423218221896,0.16678912564290962,0.0,0.0,0.059147685525349006,0.08853783982365908
06001404900,ca,06,001,404900,14000US06001404900,Census Tract 4049,0.390420727818044,4461,2087,1070,200,1121,0,134500,2583,338,27,624,16,7,275,591,797,1966,0.5126976521322473,0.04483299708585519,0.0,0.4053916581892167,0.5790181573638198,0.07576776507509526,0.00605245460659045,0.1398789509078682,0.003586639766868415,0.0015691548980049316,0.06164537099305088,0.1324815063887021
06001405000,ca,06,001,405000,14000US06001405000,Census Tract 4050,0.309143903369436,3718,1767,1200,20,1038,0,141413,2010,538,0,449,0,35,236,450,705,1630,0.6791171477079796,0.0053792361484669175,0.0,0.4325153374233129,0.5406132329209252,0.1447014523937601,0.0,0.1207638515330823,0.0,0.009413663259817106,0.06347498655190963,0.12103281334050565
06001405100,ca,06,001,405100,14000US06001405100,Census Tract 4051,0.485145104919405,4479,1756,1608,11,1246,54,236786,2830,267,0,640,7,25,451,259,1106,1696,0.9157175398633257,0.002455905336012503,0.04333868378812199,0.652122641509434,0.6318374637195803,0.05961152042866711,0.0,0.14288903773163653,0.0015628488501897744,0.005581603036392052,0.10069211877651262,0.05782540745702166
06001405200,ca,06,001,405200,14000US06001405200,Census Tract 4052,0.331205395546234,4936,2483,621,269,835,46,89828,1853,519,0,1834,0,80,223,427,726,2266,0.2501006846556585,0.054497568881685575,0.055089820359281436,0.32038834951456313,0.37540518638573744,0.10514586709886548,0.0,0.37155591572123176,0.0,0.01620745542949757,0.04517828200972447,0.08650729335494327
06001405301,ca,06,001,405301,14000US06001405301,Census Tract 4053.01,0.0879359286606733,2988,1712,117,200,435,41,105128,1499,419,0,408,6,0,169,487,363,1556,0.0683411214953271,0.06693440428380187,0.09425287356321839,0.2332904884318766,0.5016733601070951,0.14022757697456492,0.0,0.13654618473895583,0.002008032128514056,0.0,0.056559571619812586,0.16298527443105756
06001405302,ca,06,001,405302,14000US06001405302,Census Tract 4053.02,0.0793694797041531,2457,1646,102,165,432,8,59801,906,514,38,748,0,24,56,171,113,1453,0.061968408262454436,0.06715506715506715,0.018518518518518517,0.07777013076393668,0.36874236874236876,0.2091982091982092,0.015466015466015465,0.30443630443630443,0.0,0.009768009768009768,0.022792022792022793,0.0695970695970696
06001405401,ca,06,001,405401,14000US06001405401,Census Tract 4054.01,0.121209055794853,3583,1802,171,252,729,86,64432,978,468,0,1168,0,32,159,778,441,1617,0.0948945615982242,0.07033212391850405,0.11796982167352538,0.2727272727272727,0.27295562377895616,0.1306168015629361,0.0,0.32598381244766955,0.0,0.008931063354730673,0.04437622104381803,0.21713647781188947
06001405402,ca,06,001,405402,14000US06001405402,Census Tract 4054.02,0.110181591574942,3492,1297,97,153,765,82,58184,670,580,9,1066,17,86,79,985,556,1191,0.07478797224363917,0.04381443298969072,0.10718954248366012,0.46683459277917716,0.1918671248568156,0.1660939289805269,0.002577319587628866,0.3052691867124857,0.004868270332187858,0.024627720504009163,0.022623138602520045,0.2820733104238259
06001405500,ca,06,001,405500,14000US06001405500,Census Tract 4055,0.158966373589376,3644,1711,367,226,766,41,81131,937,633,23,1119,55,69,163,645,398,1561,0.21449444769140855,0.062019758507135016,0.05352480417754569,0.2549647661755285,0.25713501646542264,0.17371020856201977,0.006311745334796927,0.3070801317233809,0.015093304061470912,0.01893523600439078,0.04473106476399561,0.1770032930845225
06001405600,ca,06,001,405600,14000US06001405600,Census Tract 4056,0.165550573979493,3184,1602,347,268,574,73,75142,765,551,89,780,0,12,245,742,352,1453,0.21660424469413234,0.08417085427135679,0.12717770034843207,0.24225739848589126,0.2402638190954774,0.17305276381909548,0.027952261306532663,0.2449748743718593,0.0,0.0037688442211055275,0.07694723618090452,0.23304020100502512
06001405700,ca,06,001,405700,14000US06001405700,Census Tract 4057,0.211143835415454,3722,1585,388,402,716,99,69552,563,1024,15,1182,0,10,156,772,605,1497,0.244794952681388,0.10800644814615798,0.138268156424581,0.40414161656646624,0.15126276195593766,0.27512090274046214,0.004030091348737238,0.31757119828049435,0.0,0.0026867275658248252,0.04191295002686728,0.20741536808167652
06001405800,ca,06,001,405800,14000US06001405800,Census Tract 4058,0.200407492235485,4157,1451,506,587,883,148,54909,459,701,19,2031,0,22,177,748,810,1362,0.3487250172294969,0.14120760163579504,0.16761041902604756,0.5947136563876652,0.11041616550396921,0.16863122444070244,0.004570603800817898,0.48857349049795523,0.0,0.005292278085157566,0.042578782776040415,0.17993745489535723
